image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
1_B_2_stitch.rsml, root_13, 7f75077e-026d-4543-9c63-34cc8e141ef3, 1.7576475, 1.7227597, 0.557669, 0.017488273, 159.92196726440852, 0.10501835, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_12, f344703e-5170-4bc1-a30f-33d7de749cc2, 12.67537, 11.71403, 6.0410004, 0.3337669, 256.12649312035876, 0.16089122, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_11, 7ce7e2a1-dc66-4d7a-b383-a4610509786e, 0.3089177, 0.3089177, 0.16790698, 0.007277302, 342.7651477984094, 0.17099258, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_10, 97d02189-de59-4d2a-b19a-5e23edbe6077, 0.9808598, 0.9765323, 0.10139944, 0.001541796, 333.27214107857543, 0.043705553, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_9, 1c32711f-572b-49cb-86f9-53930e619f52, 1.448563, 1.4427961, 1.2762735, 0.09332322, 209.63260313813822, 0.30801874, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_8, 2022abc5-5d01-49a6-9d83-4712d7df8483, 1.7801667, 1.7766367, 0.067132406, 2.2638185E-4, 208.5139410954952, 0.0127906995, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_7, 0f10a61b-22f4-4611-bac0-cda3b01dcaf0, 2.689066, 2.6426182, 0.40420333, 0.0054593952, 71.27749776298941, 0.04569648, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_6, a7ee97ba-89a4-46bd-a023-8ceef0761045, 5.0364127, 4.967993, 1.6823355, 0.0887223, 157.27949001793564, 0.09872865, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_5, 1d35d67b-2450-4e8a-8200-b21644500727, 5.1482196, 5.135875, 1.1215706, 0.033876773, 250.1507606155146, 0.07584862, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_4, 841131db-531c-49b0-b5a4-d2de4eb4b2fd, 2.5983202, 2.4757278, 2.445479, 0.19451752, 273.99055236620364, 0.24118796, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_3, 2b2240ae-8a75-4c7f-8603-8795e6bdc402, 1.5697072, 1.552515, 0.22113968, 0.0035180894, 215.4917852949853, 0.037623342, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_1, 94f11215-cdb5-45f6-bc9c-65121a4b22a5, 2.789754, 2.7622547, 1.9876701, 0.12881248, 242.18394600534168, 0.19081469, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_0, 14e0e00d-b954-4560-9b2d-bc0e082d44a9, 3.656493, 3.6339362, 0.28221124, 0.0058854083, 225.52011492120812, 0.061005503, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_A_2_stitch.rsml, root_10, 522bcca1-dc65-403e-940a-1c951a3165a3, 3.416028, 3.2949982, 0.5658843, 0.010588635, 126.1963236335831, 0.09090982, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_A_2_stitch.rsml, root_9, f6de79d7-8a25-4880-a8f4-5d3c80fd88e5, 2.1379206, 2.0881882, 0.38351548, 0.005998132, 164.68928904091567, 0.06568259, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
